TIC_ID,Label,Disposition,TOI_Number,Period,Duration,Depth,SNR,Transit_Count,OddEvenRatio,ShapeMetric,VariabilityMetric,Teff,Radius,Mass,logg,Tmag,numcont,contratio
314865962,Transit,PC,208.01,10.8509,0.179,0.00062,8.12,2,0.5166,0.1707,0.0012,5493.0,0.978380978107452,0.98,4.43001,10.3539,nan,nan
97409519,Transit,KP,113.01,3.3724,0.089,0.01455,72.45,8,0.9969,0.662,0.00363,6050.0,1.02,1.17,4.45061,12.1893,nan,nan
349095149,Transit,CP,1221.01,14.8912,0.2,0.00049,6.28,1,0.8166,0.1351,0.00106,5802.0,1.01813995838165,1.01,4.44521,10.0564,nan,nan
421894914,Transit,PC,1056.01,5.3092,0.125,0.00036,10.07,5,0.9185,0.1515,0.00082,6124.3,1.36962997913361,1.16,4.38,9.6663,nan,nan
350618622,Transit,CP,201.01,13.5783,0.187,0.00041,13.13,2,0.802,0.2189,0.0005,6461.8,1.3303099870681763,1.31,4.35,8.5822,nan,nan
142019343,Transit,PC,4413.01,8.0945,0.2,0.00205,28.31,3,0.6306,0.4014,0.00145,5364.0,0.89,0.93,4.5,9.6256,nan,nan
238176110,Transit,KP,116.01,2.7994,0.093,0.00464,23.44,9,0.9487,0.5034,0.0018,4920.0,0.906655013561249,0.81,4.49371,11.0443,nan,nan
270341214,Transit,PC,173.01,10.8437,0.2,0.00065,17.88,2,0.0162,0.2922,0.00061,6409.0,1.46862995624542,1.41,4.20097,8.8784,nan,nan
273985865,Transit,PC,1208.01,9.1608,0.198,0.00088,10.11,3,0.6584,0.1564,0.00161,5626.0,0.823019027709961,0.98,4.56195,10.5924,nan,nan
25155310,Transit,KP,114.01,3.2854,0.131,0.00618,89.37,8,0.987,0.675,0.00134,5800.0,1.24175000190735,1.01,4.28004,10.6103,nan,nan
30853470,Transit,PC,807.01,6.2884,0.154,0.00068,6.39,4,0.9154,0.0959,0.00215,4662.0,0.693073987960815,0.74,4.56787,11.3042,nan,nan
278862750,Transit,PC,4369.01,5.9692,0.2,0.00043,9.71,4,0.8745,0.1357,0.00092,6730.0,2.5,1.43,3.8,9.329001,nan,nan
231670397,Transit,KP,104.01,4.0905,0.2,0.00331,81.33,6,0.9362,0.5423,0.00095,6036.0,2.21866989135742,1.16,3.93359,9.8638,nan,nan
391904697,Transit,PC,705.01,9.966,0.2,0.00104,9.23,2,0.5358,0.1231,0.00225,5249.18,0.877876996994019,0.9,4.68369,11.4994,nan,nan
237914496,Transit,PC,702.01,13.6218,0.2,0.00087,5.87,2,0.7304,0.1218,0.00248,4015.0,0.577735006809235,0.62,4.61505,11.8371,nan,nan
