TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted RV Semi-amplitude (m/s),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,Label
437261733,1910.01,,5,5,5,5,5,5,5,21.2,64.9,117.14,42.7,0,0,0,KP,KP,13.2958,0.007,,1,qlp,QLP,11:21:17.84,-22:23:17.44,-24.166,0.048,0.929,0.034,2459296.222791,0.0015289,5.4161129,1.65e-05,3.385,0.092,15.649124,0.004986,14310.0,4.59249,13.3752,,232.397,1087.0,26.0,642.884,13.6555,5652.0,122.0,4.36,,1.1,,,,1.0,,"9,36",2020-05-29,2021-11-10,2025-07-31 12:59:22,HATS-59 b,Transit
418987806,1584.01,,5,5,5,5,5,5,5,178.4,233.3,317.0,160.3,1,2,1,PC,FP,9.27904,0.006,,1,qlp-tois-update,QLP,00:26:04.66,63:19:09.88,-13.0,0.041,-0.308,0.038,2460633.085787,0.0039066,0.88654,0.0001899999999999,1.679,0.037,0.945002,0.282085,870.0,259.776,24.9348,7.63992,64431.5,4438.0,32.0,479.659,6.5305,6919.0,178.4,3.36,0.09,4.27,0.17,,,1.509,0.265816,"18,24,58,78,85",2019-12-19,2025-03-07,2025-07-31 12:59:22,likely EB; retired as TFOP FP/NEB,False Positive
384549882,1048.01,,5,5,5,5,5,5,5,78.9,309.2,77.13,34.0,6,1,3,PC,FP,8.802,0.006,,1,qlp,QLP,09:06:06.65,-54:54:14.12,-10.863,0.096,7.063,0.089,2458518.376,0.00075,0.30412,1e-05,0.748,0.1,1.44499,0.00416,1330.0,3.83107,10.417,0.668057,280833.0,6413.0,70.0,440.426,9.484,11892.0,235.8,4.14,0.07,2.52,0.09,,,3.17,0.422288,"8,9,10",2019-07-24,2020-05-20,2025-07-31 12:59:22,probably EB,False Positive
307809773,4599.02,,1,5,5,1,4,4,4,12.7,238.9,4.19,2.5,0,2,5,CP,CP,7.89863,0.008,,2,qlp-s72-ffi,SPOC/QLP,06:37:09.97,17:33:58.57,-764.522,0.088,337.802,0.075,2460277.804123,0.0006833,5.7060868,6.3e-06,0.863,0.15,0.891756,0.256535,821.0,236.25,1.89602,0.173003,20.536,593.0,28.0,10.0055,0.00505,3807.0,157.0,4.77,0.01,0.47,0.01,,,0.463011,0.020376,"43,44,45,71,72",2021-11-01,2024-01-03,2025-07-31 12:59:22,HD 260655 c,Transit
450327768,1788.01,,5,5,5,5,5,5,5,46.4,158.2,77.23,27.5,6,2,2,PC,FP,10.1883,0.007,,1,qlp,QLP,10:40:55.01,35:54:48.07,-48.379,0.082,-72.308,0.073,2458875.04671,0.00069,5.34326,0.00028,1.426,0.096,7.605011,0.003726,6980.0,3.43158,10.4171,0.594114,52.9343,751.0,70.0,191.532,2.375,5776.0,131.0,4.25,0.08,1.26,0.06,,,1.035,0.127192,21,2020-03-12,2020-03-12,2025-07-31 12:59:22,,False Positive
120602501,1366.01,,5,5,5,5,5,5,5,250.8,631.4,317.0,81.4,0,2,4,EB,FP,8.48216,0.006,,1,spoc-s14-s60-b0A-PC,SPOC/QLP,22:30:44.84,40:00:13.55,64.486,0.036,-47.157,0.047,2459830.772785,0.00039286475,14.8626982035114,7.926379e-06,3.32505015900045,0.042186625,9.010044,0.076908,8264.21939186854,70.83259,26.5090911240257,7.460604,202.609576738049,962.242958920619,169.92651,118.59,0.437,5705.0,185.1,3.97,0.07,1.73363995552063,0.0842312,,,1.02,0.127522,"16,56",2019-10-30,2023-08-18,2025-07-31 12:59:22,clear eccentric EB,False Positive
260298958,2205.01,,5,5,5,5,5,5,5,97.9,58.6,317.0,286.9,4,0,2,PC,FP,15.0804,0.009,,1,spoc-s01-s65-b0A-PC,SPOC,06:17:15.76,-56:30:35.49,-2.397,0.07,27.724,0.077,2459036.525582,0.00013302908,0.88914831054054,9.526462e-07,1.1970992381886394,0.017634984,49.676229,0.6767,44722.58909944373,623.0692,14.824978240517142,0.4989428,280.5711449905768,1043.8317455002243,80.64614,409.034,5.74,3653.0,157.0,4.60969,0.0131045,0.6498870253562927,0.0207052,,,0.627042,0.0210398,"27,28,29,31,35,36,37,38,39,61,62,63,64,65",2020-09-18,2025-07-09,2025-09-18 12:19:01,near neighbor TIC 737476974; V-shaped; large PC,False Positive
71854732,3658.01,,5,5,5,5,5,5,5,,,102.74,,1,1,4,EB,FP,12.6532,0.006,,1,qlp-s58-tois,FAINT,01:45:11.38,54:33:34.75,-19.248,2.01,14.892,2.01,2459909.663353,0.0027931,3.1004285,2.38e-05,3.513,1.313,13.969536,24.420889,12784.0,22241.4,,,17168.8,3188.0,19.0,,,8951.0,338.1,,,,,,,,,"18,58",2021-06-23,2024-09-06,2024-10-01 12:15:24,found in faint-star QLP search; strong phase modulations and ~3000 ppm secondary; no stellar radius; Teff ~8000 K; retired as TFOP FP/EB,False Positive
243283955,7345.01,,5,5,5,5,5,5,5,3.5,23.9,22.7,6.5,2,2,3,PC,FP,11.9125,0.007,,1,qlp-s83-faintsearch,FAINT,19:14:40.84,55:21:16.48,-5.259,0.062,-7.785,0.064,2460570.743707,0.002553,8.407133,2.43e-05,1.272,0.281,1.618953,0.148568,1490.0,136.827,5.06899,0.377915,24.6329,620.0,12.0,488.546,6.8725,6126.0,124.9,4.25,0.08,1.33,0.06,,,1.16,0.158394,"14,15,16,23,26,40,41,49,53,54,55,56,59,60,73,74,75,76,80,81,82,83",2025-04-10,2025-04-10,2025-07-31 12:59:22,found in faint-star QLP search,False Positive
1979500576,3627.01,,5,5,5,5,5,5,5,16.5,77.6,25.06,11.8,0,0,0,PC,FP,12.2546,0.009,,1,qlp-s17-faintsearch,FAINT,20:56:09.72,57:42:30.12,2.459,0.079,4.13,0.08,2458784.456622,0.0056474,2.6342729,0.0004907,3.998,0.52,3.469035,0.620962,3190.0,571.764,,,,,19.0,272.628,3.1125,,,,,,,,,,,"15,16,17",2021-06-23,2024-08-22,2025-07-31 12:59:22,V-shaped; found in faint-star QLP search,False Positive
380255458,7512.01,,5,5,5,5,5,5,5,31.7,110.9,102.77,34.6,0,1,5,KP,KP,12.0213,0.006,,1,spoc-s01-s92-b02,SPOC,12:32:32.96,-09:36:27.4,-6.831,0.101,6.107,0.052,2459559.04535,0.0010217173,6.56920797691,0.0006984122,3.661702231205262,0.10787025,15.809975,0.344967,14456.01921424417,317.67548,12.33083014838784,0.752705,0.4834921854375145,212.6753295016155,43.617573,347.917,8.102,5712.0,130.874,4.43116,0.0811454,1.0170199871063232,0.0548341,,,1.018,0.130352,"46,91",2025-10-16,2025-10-16,2026-06-03 12:19:02,K2-140 b; SPOC report has 94x actual period (6.569188 d),Transit
144193715,4308.01,,2,5,5,2,4,4,4,2.8,42.0,6.64,2.2,2,1,3,CP,CP,10.339,0.006,,1,qlp-s68-ffi,SPOC,21:51:00.74,-43:33:44.51,-72.111,0.063,-1.864,0.06,2460163.674868,0.0044186,9.1512776,3.39e-05,2.616,0.642,1.166707,0.090487,1074.0,83.338,2.45142,0.193343,55.3616,759.0,10.0,108.932,0.638,5015.0,180.0,4.47652,0.304279,0.79,0.05,,,0.9,0.113319,"1,28,68",2021-07-19,2023-10-30,2025-07-31 12:59:22,TOI-4308 b,Transit
